ID,Study_ID,Author,Affiliation_ID,Affiliation,City,Country
1,0,Oji C.,60019378,Ebonyi State University Teaching Hospital,Abakaliki,Nigeria
2,0,Chukwuneke F.,60025390,University of Nigeria,Naukka,Nigeria
3,1,Adeyemi A.,60006270,University of Ibadan,Ibadan,Nigeria
4,1,Bankole O.,60006270,University of Ibadan,Ibadan,Nigeria
5,2,Oludiran O.O.,60017980,University of Benin,Benin,Nigeria
6,2,Omotoso D.R.,60017980,University of Benin,Benin,Nigeria
7,2,Sakpa C.L.,60017980,University of Benin,Benin,Nigeria
8,3,Khammissa R.,60017614,University of Limpopo,Sovenga,South Africa
9,3,Feller L.,60017614,University of Limpopo,Sovenga,South Africa
10,3,Altini M.,60016218,"University of the Witwatersrand, Johannesburg",Johannesburg,South Africa
11,3,Fatti P.,60016218,"University of the Witwatersrand, Johannesburg",Johannesburg,South Africa
12,3,Lemmer J.,60017614,University of Limpopo,Sovenga,South Africa
13,4,Arinola J.,60006448,University of Lagos,Lagos,Nigeria
14,4,Olukoju O.,60006448,University of Lagos,Lagos,Nigeria
15,5,Ajayi D.,60006270,University of Ibadan,Ibadan,Nigeria
16,5,Arigbede A.,60029544,University of Port Harcourt,Port Harcourt,Nigeria
17,6,Ize-Iyamu I.N.,60017980,University of Benin,Benin,Nigeria
18,6,Isiekwe M.C.,60006448,University of Lagos,Lagos,Nigeria
19,7,Anthony O.E.,60017980,University of Benin,Benin,Nigeria
20,7,Rachel O.,60017980,University of Benin,Benin,Nigeria
21,8,Sangaré A.D.,100822043,University of Cocody,N/A,France
22,8,Samba M.,100822043,University of Cocody,N/A,France
23,8,Bourgeois D.,60023578,Université Claude Bernard Lyon 1,Villeurbanne,France
24,9,Achembong L.N.,60015481,University of Washington,Seattle,United States
25,9,Ashu A.M.,101954914,Cameroon Baptist Convention Health Board,Mbingo,Cameroon
26,9,Hagopian A.,60015481,University of Washington,Seattle,United States
27,9,Downer A.,60015481,University of Washington,Seattle,United States
28,9,Barnhart S.,60015481,University of Washington,Seattle,United States
29,10,Masalu J.,60091726,Muhimbili University of Health and Allied Sciences,Dar Es Salaam,Tanzania
30,10,Kikwilu E.,60091726,Muhimbili University of Health and Allied Sciences,Dar Es Salaam,Tanzania
31,10,Kahabuka F.,60091726,Muhimbili University of Health and Allied Sciences,Dar Es Salaam,Tanzania
32,10,Mtaya M.,60091726,Muhimbili University of Health and Allied Sciences,Dar Es Salaam,Tanzania
33,10,Senkoro A.,60071587,Ministry of Health and Social Welfare Dar es Salaam,Dar Es Salaam,Tanzania
34,11,Tugaineyo E.I.,112859364,Mulago National Referral and Teaching Hospital,Kampala,Uganda
35,11,Odhiambo W.A.,60048717,University of Nairobi,Nairobi,Kenya
36,11,Akama M.K.,60048717,University of Nairobi,Nairobi,Kenya
37,11,Guthua S.W.,60048717,University of Nairobi,Nairobi,Kenya
38,11,Dimba E.A.O.,60048717,University of Nairobi,Nairobi,Kenya
39,12,Olze A.,60026245,Charité – Universitätsmedizin Berlin,Berlin,Germany
40,12,Van Niekerk P.,60021902,University of Pretoria,Pretoria,South Africa
41,12,Schulz R.,60000401,Westfälische Wilhelms-Universität Münster,Munster,Germany
42,12,Ribbecke S.,112810871,Statistik-Service S2,Berlin,Germany
43,12,Schmeling A.,60026245,Charité – Universitätsmedizin Berlin,Berlin,Germany
44,13,Azodo C.,60017980,University of Benin,Benin,Nigeria
45,13,Ezeja E.,60017980,University of Benin,Benin,Nigeria
46,13,Omoaregba J.,100617488,Federal Psychiatric Hospital,Benin,Nigeria
47,13,James B.,100617488,Federal Psychiatric Hospital,Benin,Nigeria
